"","Financial.Year","Demographic.Derived.Household.Type.LCFS","mean_housing_ratio","median_housing_ratio","Demographic.Housing","Demographic.Role.Type","Demographic.Disabled","Demographic.UC","Demographic.ethnicity.HRP"
"1","2020-21","Adults only",0.180742675128521,0.13325041673818,NA,NA,NA,NA,NA
"2","2020-21","Couple",0.185301268804168,0.126315290548867,NA,NA,NA,NA,NA
"3","2020-21","Couple With Dependent Children",0.341704361427213,0.315329788437606,NA,NA,NA,NA,NA
"4","2020-21","Other",0.0990107732379739,0.059997531277587,NA,NA,NA,NA,NA
"5","2020-21","Other adults and Dependent children",0.240128596662204,0.211985930735931,NA,NA,NA,NA,NA
"6","2020-21","Single Person",0.318885153304614,0.140314965097456,NA,NA,NA,NA,NA
"7","2020-21","Single Person With Dependent Children",0.379161813029572,0.336803412841083,NA,NA,NA,NA,NA
"8","2021-22","Adults only",0.175179250515869,0.130923549689515,NA,NA,NA,NA,NA
"9","2021-22","Couple",0.23902559707305,0.128893357424786,NA,NA,NA,NA,NA
"10","2021-22","Couple With Dependent Children",0.334365972269405,0.313369692072897,NA,NA,NA,NA,NA
"11","2021-22","Other",0.218450012072335,0.170441682357553,NA,NA,NA,NA,NA
"12","2021-22","Other adults and Dependent children",0.229806823072285,0.191603163959703,NA,NA,NA,NA,NA
"13","2021-22","Single Person",0.691037007436562,0.150766554713594,NA,NA,NA,NA,NA
"14","2021-22","Single Person With Dependent Children",0.387452369972931,0.341968182296173,NA,NA,NA,NA,NA
"15","2022-23","Adults only",0.178653816802806,0.134469432326839,NA,NA,NA,NA,NA
"16","2022-23","Couple",0.245729750378267,0.131862456632725,NA,NA,NA,NA,NA
"17","2022-23","Couple With Dependent Children",0.347016902425751,0.324128020152667,NA,NA,NA,NA,NA
"18","2022-23","Other",0.223314893443923,0.172410649903157,NA,NA,NA,NA,NA
"19","2022-23","Other adults and Dependent children",0.23668305474683,0.198406416405928,NA,NA,NA,NA,NA
"20","2022-23","Single Person",0.701807963314307,0.155846201583485,NA,NA,NA,NA,NA
"21","2022-23","Single Person With Dependent Children",0.397422555952575,0.356280415065202,NA,NA,NA,NA,NA
"22","2023-24","Adults only",0.184326287026695,0.134493829117642,NA,NA,NA,NA,NA
"23","2023-24","Couple",0.257165255491356,0.130197924504262,NA,NA,NA,NA,NA
"24","2023-24","Couple With Dependent Children",0.37510290733059,0.348237788651759,NA,NA,NA,NA,NA
"25","2023-24","Other",0.21763781898968,0.176994239722317,NA,NA,NA,NA,NA
"26","2023-24","Other adults and Dependent children",0.246587494565114,0.198411452668005,NA,NA,NA,NA,NA
"27","2023-24","Single Person",0.702817209250117,0.153741727533609,NA,NA,NA,NA,NA
"28","2023-24","Single Person With Dependent Children",0.402150286749107,0.350569802889451,NA,NA,NA,NA,NA
"29","2020-21",NA,0.402658575590662,0.37589584735311,"Mortgage",NA,NA,NA,NA
"30","2020-21",NA,0.232855314082615,0.17582607227405,"Other",NA,NA,NA,NA
"31","2020-21",NA,0.102549014295823,0.0519412012176761,"Owned Outright",NA,NA,NA,NA
"32","2020-21",NA,0.310594603033862,0.270218684170711,"Private Rental",NA,NA,NA,NA
"33","2020-21",NA,0.338060829918977,0.184870632257562,"Social Housing",NA,NA,NA,NA
"34","2021-22",NA,0.390999560933052,0.363802085065898,"Mortgage",NA,NA,NA,NA
"35","2021-22",NA,0.246590475179822,0.215068932208157,"Other",NA,NA,NA,NA
"36","2021-22",NA,0.163767645480751,0.0525651633063605,"Owned Outright",NA,NA,NA,NA
"37","2021-22",NA,0.909221354168399,0.270440325943474,"Private Rental",NA,NA,NA,NA
"38","2021-22",NA,0.30598652558957,0.200593329648056,"Social Housing",NA,NA,NA,NA
"39","2022-23",NA,0.408820399399361,0.379657040091051,"Mortgage",NA,NA,NA,NA
"40","2022-23",NA,0.252825041616346,0.225488982754285,"Other",NA,NA,NA,NA
"41","2022-23",NA,0.148595530243662,0.0542589151673665,"Owned Outright",NA,NA,NA,NA
"42","2022-23",NA,0.955751202143304,0.273481770882606,"Private Rental",NA,NA,NA,NA
"43","2022-23",NA,0.317448050454849,0.205438971192913,"Social Housing",NA,NA,NA,NA
"44","2023-24",NA,0.455993037317183,0.420292957372547,"Mortgage",NA,NA,NA,NA
"45","2023-24",NA,0.273448583139035,0.235318174701315,"Other",NA,NA,NA,NA
"46","2023-24",NA,0.147632552504411,0.0526213266840404,"Owned Outright",NA,NA,NA,NA
"47","2023-24",NA,0.939307418944993,0.266082148155094,"Private Rental",NA,NA,NA,NA
"48","2023-24",NA,0.306975068564396,0.198606784237666,"Social Housing",NA,NA,NA,NA
"49","2020-21",NA,0.298645075876962,0.280441991991303,NA,"Full-Time",NA,NA,NA
"50","2020-21",NA,0.218129402880049,0.131049353138476,NA,"Part-Time 0-15",NA,NA,NA
"51","2020-21",NA,0.269458215079497,0.240008311256558,NA,"Part-Time 16-34",NA,NA,NA
"52","2020-21",NA,0.230487188570044,0.0915850995052374,NA,"Unemployed",NA,NA,NA
"53","2021-22",NA,0.295462676001459,0.282891575528091,NA,"Full-Time",NA,NA,NA
"54","2021-22",NA,0.259459298946087,0.135974419558267,NA,"Part-Time 0-15",NA,NA,NA
"55","2021-22",NA,0.265991355944137,0.228741066653173,NA,"Part-Time 16-34",NA,NA,NA
"56","2021-22",NA,0.500504331799938,0.0937046573696462,NA,"Unemployed",NA,NA,NA
"57","2022-23",NA,0.30538011772522,0.288457295396862,NA,"Full-Time",NA,NA,NA
"58","2022-23",NA,0.303171036445337,0.138265825679606,NA,"Part-Time 0-15",NA,NA,NA
"59","2022-23",NA,0.308305440393889,0.232152747596229,NA,"Part-Time 16-34",NA,NA,NA
"60","2022-23",NA,0.500764153138991,0.0962578355723698,NA,"Unemployed",NA,NA,NA
"61","2023-24",NA,0.329197922127932,0.301220405023845,NA,"Full-Time",NA,NA,NA
"62","2023-24",NA,0.311263291977315,0.136836599462654,NA,"Part-Time 0-15",NA,NA,NA
"63","2023-24",NA,0.311927472033522,0.226132098106463,NA,"Part-Time 16-34",NA,NA,NA
"64","2023-24",NA,0.501416531633047,0.0936248716879154,NA,"Unemployed",NA,NA,NA
"65","2020-21",NA,0.17110118898404,0.116452427736519,NA,NA,"Disability.Benefits",NA,NA
"66","2020-21",NA,0.28466614658745,0.187453856576097,NA,NA,"Disability.No.Benefits",NA,NA
"67","2020-21",NA,0.275029559648289,0.208453876271701,NA,NA,"None",NA,NA
"68","2021-22",NA,0.180058943570745,0.122865439766997,NA,NA,"Disability.Benefits",NA,NA
"69","2021-22",NA,0.32758305960563,0.239948052298044,NA,NA,"Disability.No.Benefits",NA,NA
"70","2021-22",NA,0.411735608618664,0.209015379179302,NA,NA,"None",NA,NA
"71","2022-23",NA,0.186033678656719,0.125729920699528,NA,NA,"Disability.Benefits",NA,NA
"72","2022-23",NA,0.33577376659594,0.241282392938801,NA,NA,"Disability.No.Benefits",NA,NA
"73","2022-23",NA,0.421722674380874,0.21174534100669,NA,NA,"None",NA,NA
"74","2023-24",NA,0.184470014052101,0.123021849235654,NA,NA,"Disability.Benefits",NA,NA
"75","2023-24",NA,0.328414043705159,0.23316051345599,NA,NA,"Disability.No.Benefits",NA,NA
"76","2023-24",NA,0.434922622881482,0.214521470707463,NA,NA,"None",NA,NA
"77","2020-21",NA,0.253215649579703,0.182082966359486,NA,NA,NA,"Not UC",NA
"78","2020-21",NA,0.384612924214126,0.307807140699142,NA,NA,NA,"UC",NA
"79","2021-22",NA,0.380971079601688,0.184033255763011,NA,NA,NA,"Not UC",NA
"80","2021-22",NA,0.40991092655347,0.331451402371055,NA,NA,NA,"UC",NA
"81","2022-23",NA,0.385565903835779,0.18736104838893,NA,NA,NA,"Not UC",NA
"82","2022-23",NA,0.471028622252257,0.340610843954841,NA,NA,NA,"UC",NA
"83","2023-24",NA,0.398701601396692,0.187293617206132,NA,NA,NA,"Not UC",NA
"84","2023-24",NA,0.461365959413295,0.328449374715373,NA,NA,NA,"UC",NA
"85","2020-21",NA,0.261726323450538,0.18276980305924,NA,NA,NA,NA,"White"
"86","2020-21",NA,0.44408624049053,0.306669285697779,NA,NA,NA,NA,"Mixed race"
"87","2020-21",NA,0.333390404968567,0.302188086335597,NA,NA,NA,NA,"Asian or Asian British"
"88","2020-21",NA,0.237928979461296,0.219869342461463,NA,NA,NA,NA,"Black or Black British"
"89","2020-21",NA,0.360877025125849,0.264043468518479,NA,NA,NA,NA,"Other ethnic group"
"90","2020-21",NA,0.253201225422095,0.195223515003062,NA,NA,NA,NA,NA
"91","2021-22",NA,0.419444196749239,0.190468089611106,NA,NA,NA,NA,"White"
"92","2021-22",NA,0.50183574860636,0.306997958369857,NA,NA,NA,NA,"Mixed race"
"93","2021-22",NA,0.30847956244466,0.270976996065015,NA,NA,NA,NA,"Asian or Asian British"
"94","2021-22",NA,0.284966598305062,0.273174844957023,NA,NA,NA,NA,"Black or Black British"
"95","2021-22",NA,0.316320943343555,0.265952022843194,NA,NA,NA,NA,"Other ethnic group"
"96","2021-22",NA,0.245714316726343,0.187687088038154,NA,NA,NA,NA,NA
"97","2022-23",NA,0.429911170620727,0.193109658268775,NA,NA,NA,NA,"White"
"98","2022-23",NA,0.521037682098884,0.307287033660224,NA,NA,NA,NA,"Mixed race"
"99","2022-23",NA,0.322100690083417,0.276059333091581,NA,NA,NA,NA,"Asian or Asian British"
"100","2022-23",NA,0.293461739943819,0.280767579772704,NA,NA,NA,NA,"Black or Black British"
"101","2022-23",NA,0.325734130102391,0.268648249606879,NA,NA,NA,NA,"Other ethnic group"
"102","2022-23",NA,0.248119325070039,0.190139930895916,NA,NA,NA,NA,NA
"103","2023-24",NA,0.441274235965535,0.193489945350245,NA,NA,NA,NA,"White"
"104","2023-24",NA,0.530545173239619,0.33560261904275,NA,NA,NA,NA,"Mixed race"
"105","2023-24",NA,0.338949338716732,0.269770690862091,NA,NA,NA,NA,"Asian or Asian British"
"106","2023-24",NA,0.297698712031189,0.275756862900547,NA,NA,NA,NA,"Black or Black British"
"107","2023-24",NA,0.329881399806048,0.261268553971428,NA,NA,NA,NA,"Other ethnic group"
"108","2023-24",NA,0.257847593454552,0.193949597094252,NA,NA,NA,NA,NA
